feature_id,Name,Type,Known Driver Genes (cna only)
"1","ABCB1_mut","coding variant",""
"2","ABL2_mut","coding variant",""
"3","ACACA_mut","coding variant",""
"4","ACVR1B_mut","coding variant",""
"5","ACVR2A_mut","coding variant",""
"7","AFF4_mut","coding variant",""
"8","AHCTF1_mut","coding variant",""
"9","AHNAK_mut","coding variant",""
"10","AKAP9_mut","coding variant",""
"12","ALK_mut","coding variant",""
"14","ANK3_mut","coding variant",""
"15","APAF1_mut","coding variant",""
"16","APC_mut","coding variant",""
"17","AQR_mut","coding variant",""
"18","ARAP3_mut","coding variant",""
"19","ARFGAP3_mut","coding variant",""
"20","ARFGEF1_mut","coding variant",""
"21","ARFGEF2_mut","coding variant",""
"23","ARHGAP29_mut","coding variant",""
"24","ARHGEF6_mut","coding variant",""
"25","ARID1A_mut","coding variant",""
"26","ARID1B_mut","coding variant",""
"27","ARID2_mut","coding variant",""
"28","ARID4A_mut","coding variant",""
"29","ARID4B_mut","coding variant",""
"30","ARID5B_mut","coding variant",""
"31","ASH1L_mut","coding variant",""
"32","ASPM_mut","coding variant",""
"33","ASXL1_mut","coding variant",""
"34","ASXL2_mut","coding variant",""
"35","ATM_mut","coding variant",""
"37","ATRX_mut","coding variant",""
"36","ATR_mut","coding variant",""
"38","AXIN1_mut","coding variant",""
"39","AXIN2_mut","coding variant",""
"40","B2M_mut","coding variant",""
"41","BAP1_mut","coding variant",""
"42","BAZ2B_mut","coding variant",""
"43","BCLAF1_mut","coding variant",""
"44","BCOR_mut","coding variant",""
"45","BCR.ABL_mut","coding variant",""
"46","BLM_mut","coding variant",""
"47","BMPR2_mut","coding variant",""
"48","BNC2_mut","coding variant",""
"49","BPTF_mut","coding variant",""
"50","BRAF_mut","coding variant",""
"51","BRCA1_mut","coding variant",""
"52","BRCA2_mut","coding variant",""
"53","BRWD1_mut","coding variant",""
"54","C15orf55_mut","coding variant",""
"55","CAD_mut","coding variant",""
"56","CASP8_mut","coding variant",""
"57","CCAR1_mut","coding variant",""
"58","CCND1_mut","coding variant",""
"61","CDH1_mut","coding variant",""
"62","CDK12_mut","coding variant",""
"63","CDKN1A_mut","coding variant",""
"64","CDKN1B_mut","coding variant",""
"65","CDKN2A_mut","coding variant",""
"66","CEP290_mut","coding variant",""
"67","CHD3_mut","coding variant",""
"68","CHD4_mut","coding variant",""
"69","CHD6_mut","coding variant",""
"70","CHD8_mut","coding variant",""
"71","CHD9_mut","coding variant",""
"72","CHEK2_mut","coding variant",""
"73","CIC_mut","coding variant",""
"74","CLASP2_mut","coding variant",""
"76","CLSPN_mut","coding variant",""
"77","CNOT1_mut","coding variant",""
"78","CNOT3_mut","coding variant",""
"79","COL1A1_mut","coding variant",""
"80","CREBBP_mut","coding variant",""
"81","CSDE1_mut","coding variant",""
"82","CTCF_mut","coding variant",""
"83","CTNNB1_mut","coding variant",""
"84","CTNND1_mut","coding variant",""
"85","CUL2_mut","coding variant",""
"87","CUX1_mut","coding variant",""
"88","CYLD_mut","coding variant",""
"89","DDX3X_mut","coding variant",""
"91","DHX15_mut","coding variant",""
"92","DHX9_mut","coding variant",""
"93","DICER1_mut","coding variant",""
"94","DLG1_mut","coding variant",""
"95","DNMT3A_mut","coding variant",""
"96","EGFR_mut","coding variant",""
"98","EIF4G1_mut","coding variant",""
"99","EIF4G3_mut","coding variant",""
"100","ELF1_mut","coding variant",""
"101","ELF3_mut","coding variant",""
"102","EP300_mut","coding variant",""
"103","EPHA2_mut","coding variant",""
"104","EPHA4_mut","coding variant",""
"106","ERBB2IP_mut","coding variant",""
"105","ERBB2_mut","coding variant",""
"107","ERBB3_mut","coding variant",""
"110","EWSR1.FLI1_mut","coding variant",""
"111","EWSR1.X_mut","coding variant",""
"112","EZH2_mut","coding variant",""
"113","F8_mut","coding variant",""
"115","FAM123B_mut","coding variant",""
"116","FAT1_mut","coding variant",""
"117","FAT2_mut","coding variant",""
"118","FBXW7_mut","coding variant",""
"119","FGFR2_mut","coding variant",""
"121","FLT3_mut","coding variant",""
"122","FN1_mut","coding variant",""
"123","FOXP1_mut","coding variant",""
"125","FTSJD1_mut","coding variant",""
"126","FXR1_mut","coding variant",""
"128","GATA3_mut","coding variant",""
"130","GNAS_mut","coding variant",""
"131","GPS2_mut","coding variant",""
"132","HDAC9_mut","coding variant",""
"133","HGF_mut","coding variant",""
"134","HLA.A_mut","coding variant",""
"135","HLA.B_mut","coding variant",""
"136","HNF1A_mut","coding variant",""
"137","HRAS_mut","coding variant",""
"139","IDH1_mut","coding variant",""
"141","INPP4A_mut","coding variant",""
"142","INPPL1_mut","coding variant",""
"143","IREB2_mut","coding variant",""
"144","ITSN1_mut","coding variant",""
"145","KALRN_mut","coding variant",""
"146","KAT6B_mut","coding variant",""
"147","KDM5C_mut","coding variant",""
"148","KDM6A_mut","coding variant",""
"149","KDR_mut","coding variant",""
"150","KEAP1_mut","coding variant",""
"151","KIT_mut","coding variant",""
"152","KRAS_mut","coding variant",""
"153","LAMA2_mut","coding variant",""
"154","LARP4B_mut","coding variant",""
"155","LIMA1_mut","coding variant",""
"156","LNPEP_mut","coding variant",""
"157","LPHN2_mut","coding variant",""
"158","LRP6_mut","coding variant",""
"159","LRPPRC_mut","coding variant",""
"160","MACF1_mut","coding variant",""
"161","MAGI2_mut","coding variant",""
